contract_address,callstack,reentrancy,time_dependency,integer_underflow,integer_overflow,money_concurrency
0x53abbb1f4771cd0090b6301ab45dd3584359a433,False,False,False,True,True,False
0xcdda3d8be5df17bf5036447320291e45d9912ca7,False,False,False,False,False,False
0x03b7a5f1c8258f7a0b3bcc4a21d37cbce5970d87,False,False,False,False,True,True
0x6a93c9143afef65ce9f7df5fb4d1f89868bd7d0c,False,False,False,False,False,False
0x5067ac975469ff0e0d841e54b30d95fe3e669491,False,False,False,False,False,False
0x7a1fae06d3dc14a1816475296d5ce0cc6bbc8703,False,True,False,False,True,True
0x949bed886c739f1a3273629b3320db0c5024c719,False,False,False,False,True,False
0xb2eab95ebf80fcfc6ba2130168b4d0a5c7d96010,False,False,False,False,False,False
0x550574bd28db23eb7ed842e26bdb9d760e068ba9,False,False,False,False,False,True
0xd7c1d6e89c055bc01b8cc2ffe955c94d30a43556,False,False,False,False,False,False
0xfceb28dc5b9f8cced573b350447494bea8ae3e44,False,False,True,False,False,True
0x9141eae0bf3b825fba3fc94195b6ea80e1869e31,False,False,False,False,False,False
0x3e2516e9ab5b768eb2f5d930621beea504fdfb76,False,False,False,False,False,False
0xb608126ad67dcad3ba13c2b0d5363200e44fd557,False,True,False,True,False,True
0x58eaae9d2ca6170536d4efb657e89b41e2eb1b91,False,True,False,False,False,True
0x6cf14b77fc88bf599a2f43e81bbab37316261f82,True,True,False,False,False,True
0xea5598e8cd7e3fd72f4b7a190b3b4d0d4dcd8fad,False,False,False,False,False,False
0xe7597ef9dc3387bf829a04bb88f8e94869f07669,False,False,False,False,True,False
0x89c35db26935eec00168e8879d7105ebc3cd5c08,False,True,False,False,False,True
0xaa0bb10cec1fa372eb3abc17c933fc6ba863dd9e,False,False,False,False,True,False
0x9285dfc9ae1880ee31f553742cf12591396ed34e,False,True,False,False,False,True
0x117d41f78527c03a547a26bfa593e35b82713a29,False,False,False,False,False,False
0xa445dd6993776b0135052ae94516ce6560575eaa,False,False,False,False,False,False
0x75340147547cca9d2eb2dca7db8e04d88fde8c8f,False,False,False,False,False,False
0xe8e80dd98a01032ba91157778b38298e004ed2da,False,True,True,False,True,False
0xd29fe7e46f145a40d2389efa1d3bbdf7f9e45a48,False,True,False,False,False,True
0xa2335c6fc81df0080ea769d6c923d847d6c1b88c,False,True,False,False,False,True
0x6f444af44be5c398f57a2016d191e01ffd8f6931,False,False,False,False,False,False
0x071d51c71de789c298a8aa173d150d555a192b21,False,True,False,False,False,True
0xd755ab7d0fe80e7e22938785d724a0285e232801,False,False,False,True,False,False
0xce08ef3324e2450e2342c4124bb73b8eef9cca64,False,False,False,True,False,False
0x6b0d87261870162e7ce84bc0431c0edd66d061e8,False,False,False,False,False,False
0x0b4940b7b951ae6319d9f540cda0b85753ef7cd8,False,False,False,False,False,False
0xbb8c900b16a50c31897705494cd1cff826564a49,False,False,False,True,False,False
0x237cf5d1d71596bb6fe8f806be09b0fbd11b45f1,False,False,False,True,True,False
0x622d7acdffdd48e35f2af0a0ae204f481d3f4f16,False,False,False,False,True,False
0xa95add51765a714532c2a89c99d7d27c90923039,False,False,False,False,False,False
0x04e133aaed57a173aeb70d87f596c956a3f7e04a,False,False,False,False,False,False
0xe635b572647aa981ef657c60c4f8c81011f9e9dc,False,False,True,False,False,True
0x32aa53ae6d7ea730bfd491f04fbf50296dd1f40f,False,False,False,True,False,False
0x239de3a0d6ca5f21601f83327ea2174225eb7156,False,False,False,False,False,False
0x6cd0d14ea77347602f0bb57c8422513463fa095d,False,True,False,False,False,True
0x116575167f62db70e96789895a1d78bce8344e7f,False,False,False,False,False,False
0x652b30825bfd236382cc87594e7c97614f3127fa,False,False,False,False,False,False
0xd27bf944e944a91836ab6ac8f736339c4eb3baf6,False,False,False,False,False,False
0xa0e6f02f9032bbd392e67aba2498a4233f0cc8a3,False,False,False,False,True,False
0xb1e2b2067652be396749633339b4754e65c86cbf,False,False,False,False,False,False
0xfd39bd49ab3df4eda75a23807dab186d4902f924,False,False,False,False,False,True
0x2ef06079656f2ab9034b6252978c44104b7b2cc1,False,False,False,False,False,False
0x8b8e5db07b20d08b5ddd13b73cce04003e8ce439,False,False,False,False,False,False
0x414a5e05ac3d487b505afb2fd0ab90d507628026,False,False,False,False,False,False
0x9fef67d8b0236293a0f44768eaeebd3fa3dc9ab3,False,True,False,False,False,True
0x30663350031d269f21c1ed93fe768dd91a34bdea,False,False,False,False,False,False
0x8801912fda8c3ba3e43901386e76fba6d6144922,False,False,False,False,False,False
0xf0989f99f1fb97f4aae606709638df4855e34dbe,False,False,False,False,False,False
0x8d469cbc099aa692c39e934833f0fb57d52ea58f,False,True,False,False,False,True
0xdf24e3553d82d65a687c8b12706fb574b22db6f6,False,True,False,True,True,True
